Product Interoperability Matrix

, vSphere Kubernetes releases 1.33.1 , vSphere Kubernetes releases 1.32.3 , vSphere Kubernetes releases 1.32.0 , vSphere Kubernetes releases 1.31.7 , vSphere Kubernetes releases 1.31.4 , vSphere Kubernetes releases 1.31.1 (TKr 1.31.1 for vSphere 8.x) , vSphere Kubernetes releases 1.30.11 , vSphere Kubernetes releases 1.30.8 (TKr 1.30.8 for vSphere 8.x) , vSphere Kubernetes releases 1.30.1 (TKr 1.30.1 for vSphere 8.x) , vSphere Kubernetes releases 1.29.15 *, vSphere Kubernetes releases 1.29.4 (TKr 1.29.4 for vSphere 8.x) *, vSphere Kubernetes releases 1.28.15 (TKr 1.28.15 for vSphere 8.x) *, vSphere Kubernetes releases 1.28.8 (TKr 1.28.8 for vSphere 8.x) *, vSphere Kubernetes releases 1.27.16 ( TKr 1.27.16 for vSphere 8.x) *, vSphere Kubernetes releases 1.26.13 (TKr 1.26.13 for vSphere 8.x) *
"vSphere Kubernetes releases 1.32.3 ","Compatible","","","","","","","","","","","","","",""
"vSphere Kubernetes releases 1.32.0 ","Compatible","Compatible","","","","","","","","","","","","",""
"vSphere Kubernetes releases 1.31.7 ","","Compatible","","","","","","","","","","","","",""
"vSphere Kubernetes releases 1.31.4 ","","Compatible","Compatible","Compatible","","","","","","","","","","",""
"vSphere Kubernetes releases 1.31.1 (TKr 1.31.1 for vSphere 8.x) ","","","","","Compatible","","","","","","","","","",""
"vSphere Kubernetes releases 1.30.11 ","","","","Compatible","","","","","","","","","","",""
"vSphere Kubernetes releases 1.30.8 (TKr 1.30.8 for vSphere 8.x) ","","","","Compatible","Compatible","Incompatible","Compatible","","","","","","","",""
"vSphere Kubernetes releases 1.30.1 (TKr 1.30.1 for vSphere 8.x) ","","","","Compatible","Compatible","Incompatible","Compatible","Compatible","","","","","","",""
"vSphere Kubernetes releases 1.29.15 *","","","","","","","Compatible","","","","","","","",""
"vSphere Kubernetes releases 1.29.4 (TKr 1.29.4 for vSphere 8.x) *","","","","","","","Compatible","Compatible","Compatible","Compatible","","","","",""
"vSphere Kubernetes releases 1.28.15 (TKr 1.28.15 for vSphere 8.x) *","","","","","","","","","","Compatible","Incompatible","","","",""
"vSphere Kubernetes releases 1.28.8 (TKr 1.28.8 for vSphere 8.x) *","","","","","","","","","","Compatible","Compatible","Compatible","","",""
"vSphere Kubernetes releases 1.28.7 (TKr 1.28.7 for vSphere 7.x (Photon)) *","","","","","","","","","","","Compatible","Compatible","Compatible","",""
"vSphere Kubernetes releases 1.28.7 (TKr 1.28.7 for vSphere 7.x (Ubuntu)) *","","","","","","","","","","","Compatible","Compatible","Compatible","",""
"vSphere Kubernetes releases 1.27.16 ( TKr 1.27.16 for vSphere 8.x) *","","","","","","","","","","","","Compatible","Incompatible","",""
"vSphere Kubernetes releases 1.27.11 (TKr 1.27.11 for vSphere 8.x) *","","","","","","","","","","","","Compatible","Compatible","",""
"vSphere Kubernetes releases 1.27.10 (TKr 1.27.10 for vSphere 7x (Photon)) *","","","","","","","","","","","","Compatible","","Compatible",""
"vSphere Kubernetes releases 1.27.10 (TKr 1.27.10 for vSphere 7x (Ubuntu)) *","","","","","","","","","","","","Compatible","","Compatible",""
"vSphere Kubernetes releases 1.27.6 (TKr 1.27.6 for vSphere 7.x (Photon)) *","","","","","","","","","","","","Compatible","","Compatible",""
"vSphere Kubernetes releases 1.27.6 (TKr 1.27.6 for vSphere 7.x (Ubuntu)) *","","","","","","","","","","","","Compatible","","Compatible",""
"vSphere Kubernetes releases 1.26.13 (TKr 1.26.13 for vSphere 8.x) *","","","","","","","","","","","","","","Compatible",""
"vSphere Kubernetes releases 1.26.12 (TKr 1.26.12 for vSphere 7.x (Photon)) *","","","","","","","","","","","","","","Compatible","Compatible"
"vSphere Kubernetes releases 1.26.12 (TKr 1.26.12 for vSphere 7.x (Ubuntu)) *","","","","","","","","","","","","","","Compatible","Compatible"
"vSphere Kubernetes releases 1.26.10 (TKr 1.26.10 for vSphere 7.x (Photon)) *","","","","","","","","","","","","","","Compatible","Compatible"
"vSphere Kubernetes releases 1.25.13 (TKr 1.25.13 for vSphere 7.x (Photon)) *","","","","","","","","","","","","","","","Compatible"
"vSphere Kubernetes releases 1.25.13 (TKr 1.25.13 for vSphere 7.x (Ubuntu)) *","","","","","","","","","","","","","","","Compatible"
"vSphere Kubernetes releases 1.25.7 (TKr 1.25.7 for vSphere 8.x) *","","","","","","","","","","","","","","","Compatible"
""
"* This is a legacy release. For more information, please refer to https://lifecycle.vmware.com."
